symbol  TSC1	TSC2	MSC1	MSC2	NPC1	NPC2	ESC1	ESC2	MES1	MES2
AC004673.1	0	0	0	0	0	0	0	0	0	0
AC004691.5	11	12	10	0	28	47	17	11	9	9
AC004692.4	0	0	0	0	0	0	12	2	1	1
AC004692.5	0	0	1	4	0	0	5	3	4	4
AC004699.1	0	0	0	0	0	0	0	0	0	0
AC004702.2	2	0	0	0	0	3	1	1	0	0
AC004706.1	0	0	0	0	0	0	0	0	0	0
AC004744.3	0	0	0	0	1	0	0	0	0	0
AC004745.1	0	0	0	0	0	0	0	0	0	0
AC004769.1	0	0	0	0	0	0	0	0	0	0
AC004771.1	10	13	13	14	0	6	2	1	1	1
AC004775.5	6	0	4	18	5	9	28	0	3	3
AC004791.2	80	96	0	0	2	2	27	49	6	6
AC004797.1	4991	6036	5860	5872	15140	15210	7838	9327	15051	15051
AC004812.1	0	2	9	0	0	15	9	5	3	3
AC004817.1	0	0	0	0	0	0	0	0	0	0
AC004824.1	0	0	0	0	0	0	0	0	0	0
AC004824.2	4	1	0	1	1	0	1	2	1	1
AC004832.1	0	0	0	0	0	0	0	0	0	0
AC004837.3	0	0	0	0	0	0	0	0	0	0
AC004837.4	0	0	0	0	0	0	0	0	0	0
AC004837.5	26	23	39	39	23	26	25	44	40	40
AC004840.8	3	6	4	0	1	0	5	4	3	3
AC004840.9	215	259	214	176	198	182	414	409	217	217
AC004851.1	6	1	0	1	0	2	6	2	0	0
AC004854.4	5	20	2	0	32	42	27	29	22	22
AC004854.5	4	1	2	2	0	1	0	0	0	0
AC004862.6	0	0	8	2	0	2	2	0	0	0
AC004866.1	0	0	0	0	0	0	0	0	0	0
AC004866.3	0	0	0	0	0	0	0	0	0	0
AC004869.2	0	0	0	0	0	0	0	0	0	0
AC004869.3	0	0	0	0	0	0	0	0	0	0
AC004870.3	1	0	2	2	0	0	0	0	0	0
AC004870.4	0	0	9	14	0	1	0	0	0	0
AC004870.5	0	0	0	0	2	0	0	0	0	0
AC004875.1	0	0	0	0	0	0	0	0	0	0
AC004878.2	0	0	0	0	0	0	0	0	0	0
AC004878.3	0	0	0	0	0	0	0	0	0	0
AC004878.5	0	0	0	0	0	0	0	0	0	0
AC004878.6	0	0	0	0	0	0	0	0	0	0
AC004878.7	1	0	0	0	0	0	0	0	0	0
AC004878.8	0	0	0	0	0	0	0	0	0	0
AC004889.1	0	0	0	0	0	0	0	0	0	0
AC004893.10	258	271	314	325	146	152	86	102	151	151
AC004893.11	242	240	207	150	403	418	228	285	331	331
AC004895.1	0	0	0	0	0	0	0	0	1	1
AC004895.4	28	46	2	0	26	22	9	9	7	7
AC004899.1	0	0	0	0	0	0	0	0	0	0
AC004899.3	313	394	201	192	446	389	408	443	556	556
AC004901.1	0	0	49	40	0	0	0	0	0	0
AC004906.3	0	0	0	0	0	0	9	7	1	1
AC004911.2	0	0	0	0	0	0	0	0	0	0
AC004917.1	0	0	0	0	0	0	0	0	0	0
AC004920.2	0	0	0	0	0	0	0	0	0	0
AC004920.3	0	0	0	0	3	2	2	0	0	0
AC004924.1	1	0	0	0	2	3	11	5	9	9
AC004938.5	0	0	0	1	0	0	0	0	0	0
AC004941.3	6	0	2	0	7	5	9	8	2	2
AC004941.5	5439	6681	5867	5482	6080	6302	8683	9083	11995	11995
AC004943.1	0	0	0	0	0	0	0	0	0	0
AC004945.1	0	0	0	2	0	0	0	0	0	0
AC004947.2	0	0	0	0	0	0	0	0	0	0
AC004951.5	34	40	38	19	15	20	28	52	34	34
AC004951.6	96	64	51	48	71	92	152	136	96	96
AC004967.7	151	172	269	263	294	325	148	122	137	137
AC004969.1	0	0	0	0	0	0	2	0	0	0
AC004980.1	0	0	0	0	0	0	0	0	0	0
